Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C0603",168.910000,-104.140000,90.000000,top
"C2","100nF","C0603",130.214000,-109.982000,0.000000,top
"C3","100nF","C0603",116.244000,-107.188000,180.000000,top
"C4","100nF","C0603",116.244000,-109.220000,180.000000,top
"C5","100nF","C0603",122.521998,-91.262734,180.000000,top
"C6","100uF","C_1206_3216Metric",144.142000,-107.442000,180.000000,top
"C7","47pF","C0603",144.614000,-89.408000,0.000000,top
"C8","47pF","C0603",144.614000,-91.186000,0.000000,top
"C9","47pF","C0603",144.692000,-87.122000,0.000000,top
"C10","47pF","C0603",144.614000,-85.324214,0.000000,top
"C14","100nF","C0603",172.378000,-122.682000,0.000000,top
"IC1","ATmega328P-AU","TQFP32-08",123.114998,-109.456534,180.000000,top
"Q1","32768Hz","Crystal",132.829318,-106.182694,270.000000,top
"R1","4.7K","R0603",166.370000,-104.140000,90.000000,top
"R2","4.7K","R0603",163.068000,-104.140000,90.000000,top
"R3","1K","R0603",157.734000,-103.974000,90.000000,top
"R4","1K","R0603",149.440000,-87.122000,0.000000,top
"R5","4.7K","R0603",162.560000,-121.500000,270.000000,top
"R9","1K","R0603",149.440000,-85.344000,0.000000,top
"R10","1K","R0603",155.956000,-121.500000,90.000000,top
"R12","1K","R0603",159.258000,-121.500000,90.000000,top
"R13","1K","R0603",152.400000,-121.500000,270.000000,top
"R14","1K","R0603",142.240000,-121.500000,270.000000,top
"R15","1K","R0603",148.590000,-121.500000,270.000000,top
"R16","1K","R0603",127.762000,-121.246000,90.000000,top
"R17","1K","R0603",121.920000,-121.246000,90.000000,top
"R18","1R","R0603",116.586000,-103.720000,270.000000,top
"U1","RFM26W-868S2","RFM26",133.692398,-90.286434,0.000000,top
"U2","MIC94092YC6","SOT-363_SC-70-6",168.910000,-121.920000,0.000000,top
